"metric","requests"
"2018-01-01","6"
"2018-01-02","9"
"2018-01-03","3"
"2018-01-04","1"
"2018-01-05","98"
"2018-01-06","45"
"2018-01-07","18"
"2018-01-08","14"
"2018-01-09","8"
"2018-01-10","119"
"2018-01-11","24"
"2018-01-12","14"
"2018-01-13","5"
"2018-01-14","8"
"2018-01-15","3"
"2018-01-16","6"
"2018-01-17","121"
"2018-01-18","132"
"2018-01-19","107"
"2018-01-20","10"
"2018-01-21","6"
"2018-01-22","15"
"2018-01-23","11"
"2018-01-24","165"
"2018-01-25","66"
"2018-01-26","20"
"2018-01-27","27"
"2018-01-28","16"
"2018-01-29","11"
"2018-01-30","11"
"2018-01-31","59"
"2018-02-01","57"
"2018-02-02","19"
"2018-02-03","18"
"2018-02-04","32"
"2018-02-05","44"
"2018-02-06","22"
"2018-02-07","15"
"2018-02-08","6"
"2018-02-09","13"
"2018-02-10","16"
"2018-02-11","5"
"2018-02-12","29"
"2018-02-13","2"
"2018-02-14","58"
"2018-02-15","20"
"2018-02-16","21"
"2018-02-17","9"
"2018-02-18","14"
"2018-02-19","57"
"2018-02-20","6"
"2018-02-21","139"
"2018-02-22","50"
"2018-02-23","26"
"2018-02-24","28"
"2018-02-25","18"
"2018-02-26","16"
"2018-02-27","15"
"2018-02-28","117"
"2018-03-01","15"
"2018-03-02","24"
"2018-03-03","6"
"2018-03-04","105"
"2018-03-05","41"
"2018-03-06","16"
"2018-03-07","13"
"2018-03-08","103"
"2018-03-09","93"
"2018-03-10","44"
"2018-03-11","18"
"2018-03-12","15"
"2018-03-13","4"
"2018-03-14","113"
"2018-03-15","55"
"2018-03-16","13"
"2018-03-17","103"
"2018-03-18","93"
"2018-03-19","10"
"2018-03-20","62"
"2018-03-21","120"
"2018-03-22","19"
"2018-03-23","27"
"2018-03-24","10"
"2018-03-25","11"
"2018-03-26","5"
"2018-03-27","3"
"2018-03-28","11"
"2018-03-29","11"
"2018-03-30","98"
"2018-03-31","36"
"2018-04-01","109"
"2018-04-02","20"
"2018-04-03","12"
"2018-04-04","10"
"2018-04-05","89"
"2018-04-06","19"
"2018-04-07","12"
"2018-04-08","7"
"2018-04-09","15"
"2018-04-10","18"
"2018-04-11","3"
"2018-04-12","10"
"2018-04-13","4"
"2018-04-14","9"
"2018-04-15","12"
"2018-04-16","12"
"2018-04-17","6"
"2018-04-18","107"
"2018-04-19","17"
"2018-04-20","16"
"2018-04-21","25"
"2018-04-22","21"
"2018-04-23","3"
"2018-04-24","6"
"2018-04-25","61"
"2018-04-26","14"
"2018-04-27","9"
"2018-04-28","10"
"2018-04-29","16"
"2018-04-30","8"
"2018-05-01","15"
"2018-05-02","15"
"2018-05-03","110"
"2018-05-04","14"
"2018-05-05","42"
"2018-05-06","8"
"2018-05-07","8"
"2018-05-08","11"
"2018-05-09","8"
"2018-05-10","39"
"2018-05-11","88"
"2018-05-12","59"
"2018-05-13","12"
"2018-05-14","96"
"2018-05-15","91"
"2018-05-16","8"
"2018-05-17","38"
"2018-05-18","170"
"2018-05-19","8"
"2018-05-20","2"
"2018-05-21","15"
"2018-05-22","62"
"2018-05-23","11"
"2018-05-24","116"
"2018-05-25","17"
"2018-05-26","3"
"2018-05-27","103"
"2018-05-28","8"
"2018-05-29","10"
"2018-05-30","7"
"2018-05-31","10"
"2018-06-01","34"
"2018-06-02","48"
"2018-06-03","5"
"2018-06-04","12"
"2018-06-05","82"
"2018-06-06","5"
"2018-06-07","13"
"2018-06-08","48"
"2018-06-09","14"
"2018-06-10","10"
"2018-06-11","12"
"2018-06-12","11"
"2018-06-13","20"
"2018-06-14","42"
"2018-06-15","25"
"2018-06-16","69"
"2018-06-17","11"
"2018-06-18","98"
"2018-06-19","58"
"2018-06-20","30"
"2018-06-21","15"
"2018-06-22","29"
"2018-06-23","22"
"2018-06-24","7"
"2018-06-25","11"
"2018-06-26","1"
"2018-06-27","17"
"2018-06-28","8"
"2018-06-29","26"
"2018-06-30","76"
"2018-07-01","11"
"2018-07-02","9"
"2018-07-03","39"
"2018-07-04","76"
"2018-07-05","16"
"2018-07-06","81"
"2018-07-07","44"
"2018-07-08","20"
"2018-07-09","2"
"2018-07-10","64"
"2018-07-11","47"
"2018-07-12","56"
"2018-07-13","60"
"2018-07-14","64"
"2018-07-15","31"
"2018-07-16","27"
"2018-07-17","29"
"2018-07-18","18"
"2018-07-19","10"
"2018-07-20","53"
"2018-07-21","71"
"2018-07-22","17"
"2018-07-23","20"
"2018-07-24","53"
"2018-07-25","15"
"2018-07-26","15"
"2018-07-27","78"
"2018-07-28","36"
"2018-07-29","8"
"2018-07-30","72"
"2018-07-31","28"
"2018-08-01","64"
"2018-08-02","11"
"2018-08-03","39"
"2018-08-04","29"
"2018-08-05","32"
"2018-08-06","14"
"2018-08-07","16"
"2018-08-08","6"
"2018-08-09","58"
"2018-08-10","30"
"2018-08-11","173"
"2018-08-12","44"
"2018-08-13","9"
"2018-08-14","12"
"2018-08-15","24"
"2018-08-16","197"
"2018-08-17","93"
"2018-08-18","67"
"2018-08-19","40"
"2018-08-20","22"
"2018-08-21","30"
"2018-08-22","35"
"2018-08-23","31"
"2018-08-24","33"
"2018-08-25","148"
"2018-08-26","40"
"2018-08-27","17"
"2018-08-28","6"
"2018-08-29","5"
"2018-08-30","12"
"2018-08-31","11"
"2018-09-01","5"
"2018-09-02","9"
"2018-09-03","11"
"2018-09-04","23"
"2018-09-05","90"
"2018-09-06","59"
"2018-09-07","43"
"2018-09-08","141"
"2018-09-09","17"
"2018-09-10","44"
"2018-09-11","52"
"2018-09-12","4"
