"date","year","month","day","total_downloads"
"2015-03-10",2015,"March",10,0
"2015-03-11",2015,"March",11,0
"2015-03-12",2015,"March",12,0
"2015-03-13",2015,"March",13,0
"2015-03-14",2015,"March",14,0
"2015-03-15",2015,"March",15,0
"2015-03-16",2015,"March",16,1
"2015-03-17",2015,"March",17,35
"2015-03-18",2015,"March",18,46
"2015-03-19",2015,"March",19,19
"2015-03-20",2015,"March",20,9
"2015-03-21",2015,"March",21,5
"2015-03-22",2015,"March",22,5
"2015-03-23",2015,"March",23,9
"2015-03-24",2015,"March",24,21
"2015-03-25",2015,"March",25,8
"2015-03-26",2015,"March",26,7
"2015-03-27",2015,"March",27,6
"2015-03-28",2015,"March",28,1
"2015-03-29",2015,"March",29,6
"2015-03-30",2015,"March",30,8
"2015-03-31",2015,"March",31,35
"2015-04-01",2015,"April",01,15
"2015-04-02",2015,"April",02,21
"2015-04-03",2015,"April",03,3
"2015-04-04",2015,"April",04,2
"2015-04-05",2015,"April",05,6
"2015-04-06",2015,"April",06,20
"2015-04-07",2015,"April",07,25
"2015-04-08",2015,"April",08,44
"2015-04-09",2015,"April",09,46
"2015-04-10",2015,"April",10,10
"2015-04-11",2015,"April",11,19
"2015-04-12",2015,"April",12,8
"2015-04-13",2015,"April",13,10
"2015-04-14",2015,"April",14,58
"2015-04-15",2015,"April",15,48
"2015-04-16",2015,"April",16,18
"2015-04-17",2015,"April",17,13
"2015-04-18",2015,"April",18,2
"2015-04-19",2015,"April",19,6
"2015-04-20",2015,"April",20,6
"2015-04-21",2015,"April",21,32
"2015-04-22",2015,"April",22,22
"2015-04-23",2015,"April",23,8
"2015-04-24",2015,"April",24,21
"2015-04-25",2015,"April",25,12
"2015-04-26",2015,"April",26,2
"2015-04-27",2015,"April",27,5
"2015-04-28",2015,"April",28,45
"2015-04-29",2015,"April",29,43
"2015-04-30",2015,"April",30,13
"2015-05-01",2015,"May",01,3
"2015-05-02",2015,"May",02,4
"2015-05-03",2015,"May",03,3
"2015-05-04",2015,"May",04,7
"2015-05-05",2015,"May",05,63
"2015-05-06",2015,"May",06,32
"2015-05-07",2015,"May",07,14
"2015-05-08",2015,"May",08,9
"2015-05-09",2015,"May",09,7
"2015-05-10",2015,"May",10,15
"2015-05-11",2015,"May",11,16
"2015-05-12",2015,"May",12,46
"2015-05-13",2015,"May",13,34
"2015-05-14",2015,"May",14,18
"2015-05-15",2015,"May",15,6
"2015-05-16",2015,"May",16,16
"2015-05-17",2015,"May",17,1
"2015-05-18",2015,"May",18,2
"2015-05-19",2015,"May",19,4
"2015-05-20",2015,"May",20,9
"2015-05-21",2015,"May",21,10
"2015-05-22",2015,"May",22,8
"2015-05-23",2015,"May",23,1
"2015-05-24",2015,"May",24,3
"2015-05-25",2015,"May",25,38
"2015-05-26",2015,"May",26,38
"2015-05-27",2015,"May",27,10
"2015-05-28",2015,"May",28,16
"2015-05-29",2015,"May",29,6
"2015-05-30",2015,"May",30,5
"2015-05-31",2015,"May",31,11
"2015-06-01",2015,"June",01,4
"2015-06-02",2015,"June",02,6
"2015-06-03",2015,"June",03,1
"2015-06-04",2015,"June",04,17
"2015-06-05",2015,"June",05,7
"2015-06-06",2015,"June",06,2
"2015-06-07",2015,"June",7,0
"2015-06-08",2015,"June",08,7
"2015-06-09",2015,"June",09,48
"2015-06-10",2015,"June",10,24
"2015-06-11",2015,"June",11,15
"2015-06-12",2015,"June",12,44
"2015-06-13",2015,"June",13,5
"2015-06-14",2015,"June",14,2
"2015-06-15",2015,"June",15,11
"2015-06-16",2015,"June",16,5
"2015-06-17",2015,"June",17,18
"2015-06-18",2015,"June",18,4
"2015-06-19",2015,"June",19,1
"2015-06-20",2015,"June",20,1
"2015-06-21",2015,"June",21,0
"2015-06-22",2015,"June",22,0
"2015-06-23",2015,"June",23,2
"2015-06-24",2015,"June",24,3
"2015-06-25",2015,"June",25,1
"2015-06-26",2015,"June",26,8
"2015-06-27",2015,"June",27,5
"2015-06-28",2015,"June",28,1
"2015-06-29",2015,"June",29,1
"2015-06-30",2015,"June",30,2
"2015-07-01",2015,"July",01,66
"2015-07-02",2015,"July",02,33
"2015-07-03",2015,"July",03,23
"2015-07-04",2015,"July",04,4
"2015-07-05",2015,"July",05,22
"2015-07-06",2015,"July",06,12
"2015-07-07",2015,"July",07,9
"2015-07-08",2015,"July",08,3
"2015-07-09",2015,"July",09,2
"2015-07-10",2015,"July",10,29
"2015-07-11",2015,"July",11,15
"2015-07-12",2015,"July",12,11
"2015-07-13",2015,"July",13,8
"2015-07-14",2015,"July",14,5
"2015-07-15",2015,"July",15,44
"2015-07-16",2015,"July",16,21
"2015-07-17",2015,"July",17,5
"2015-07-18",2015,"July",18,1
"2015-07-19",2015,"July",19,7
"2015-07-20",2015,"July",20,9
"2015-07-21",2015,"July",21,13
"2015-07-22",2015,"July",22,39
"2015-07-23",2015,"July",23,31
"2015-07-24",2015,"July",24,13
"2015-07-25",2015,"July",25,1
"2015-07-26",2015,"July",26,5
"2015-07-27",2015,"July",27,45
"2015-07-28",2015,"July",28,33
"2015-07-29",2015,"July",29,42
"2015-07-30",2015,"July",30,8
"2015-07-31",2015,"July",31,26
"2015-08-01",2015,"August",01,16
"2015-08-02",2015,"August",02,22
"2015-08-03",2015,"August",03,29
"2015-08-04",2015,"August",04,8
"2015-08-05",2015,"August",05,79
"2015-08-06",2015,"August",06,16
"2015-08-07",2015,"August",07,17
"2015-08-08",2015,"August",08,10
"2015-08-09",2015,"August",09,22
"2015-08-10",2015,"August",10,17
"2015-08-11",2015,"August",11,5
"2015-08-12",2015,"August",12,40
"2015-08-13",2015,"August",13,16
"2015-08-14",2015,"August",14,16
"2015-08-15",2015,"August",15,21
"2015-08-16",2015,"August",16,1
"2015-08-17",2015,"August",17,7
"2015-08-18",2015,"August",18,5
"2015-08-19",2015,"August",19,51
"2015-08-20",2015,"August",20,24
"2015-08-21",2015,"August",21,12
"2015-08-22",2015,"August",22,2
"2015-08-23",2015,"August",23,3
"2015-08-24",2015,"August",24,7
"2015-08-25",2015,"August",25,1
"2015-08-26",2015,"August",26,5
"2015-08-27",2015,"August",27,30
"2015-08-28",2015,"August",28,30
"2015-08-29",2015,"August",29,10
"2015-08-30",2015,"August",30,5
"2015-08-31",2015,"August",31,4
"2015-09-01",2015,"September",1,0
"2015-09-02",2015,"September",02,88
"2015-09-03",2015,"September",03,29
"2015-09-04",2015,"September",04,14
"2015-09-05",2015,"September",05,2
"2015-09-06",2015,"September",06,6
"2015-09-07",2015,"September",07,5
"2015-09-08",2015,"September",08,9
"2015-09-09",2015,"September",09,6
"2015-09-10",2015,"September",10,12
"2015-09-11",2015,"September",11,3
"2015-09-12",2015,"September",12,6
"2015-09-13",2015,"September",13,2
"2015-09-14",2015,"September",14,10
"2015-09-15",2015,"September",15,6
"2015-09-16",2015,"September",16,21
"2015-09-17",2015,"September",17,16
"2015-09-18",2015,"September",18,6
"2015-09-19",2015,"September",19,7
"2015-09-20",2015,"September",20,5
"2015-09-21",2015,"September",21,7
"2015-09-22",2015,"September",22,19
"2015-09-23",2015,"September",23,49
"2015-09-24",2015,"September",24,14
"2015-09-25",2015,"September",25,6
"2015-09-26",2015,"September",26,9
"2015-09-27",2015,"September",27,23
"2015-09-28",2015,"September",28,5
"2015-09-29",2015,"September",29,4
"2015-09-30",2015,"September",30,6
"2015-10-01",2015,"October",01,2
"2015-10-02",2015,"October",02,1
"2015-10-03",2015,"October",03,2
"2015-10-04",2015,"October",04,3
"2015-10-05",2015,"October",05,22
"2015-10-06",2015,"October",06,10
"2015-10-07",2015,"October",07,25
"2015-10-08",2015,"October",08,12
"2015-10-09",2015,"October",09,13
"2015-10-10",2015,"October",10,2
"2015-10-11",2015,"October",11,9
"2015-10-12",2015,"October",12,8
"2015-10-13",2015,"October",13,7
"2015-10-14",2015,"October",14,29
"2015-10-15",2015,"October",15,30
"2015-10-16",2015,"October",16,9
"2015-10-17",2015,"October",17,9
"2015-10-18",2015,"October",18,5
"2015-10-19",2015,"October",19,4
"2015-10-20",2015,"October",20,4
"2015-10-21",2015,"October",21,13
"2015-10-22",2015,"October",22,39
"2015-10-23",2015,"October",23,9
"2015-10-24",2015,"October",24,4
"2015-10-25",2015,"October",25,2
"2015-10-26",2015,"October",26,3
"2015-10-27",2015,"October",27,2
"2015-10-28",2015,"October",28,3
"2015-10-29",2015,"October",29,13
"2015-10-30",2015,"October",30,7
"2015-10-31",2015,"October",31,7
"2015-11-01",2015,"November",01,11
"2015-11-02",2015,"November",02,4
"2015-11-03",2015,"November",03,11
"2015-11-04",2015,"November",04,25
"2015-11-05",2015,"November",05,14
"2015-11-06",2015,"November",06,3
"2015-11-07",2015,"November",07,2
"2015-11-08",2015,"November",08,8
"2015-11-09",2015,"November",09,18
"2015-11-10",2015,"November",10,5
"2015-11-11",2015,"November",11,22
"2015-11-12",2015,"November",12,26
"2015-11-13",2015,"November",13,3
"2015-11-14",2015,"November",14,5
"2015-11-15",2015,"November",15,5
"2015-11-16",2015,"November",16,10
"2015-11-17",2015,"November",17,3
"2015-11-18",2015,"November",18,8
"2015-11-19",2015,"November",19,7
"2015-11-20",2015,"November",20,49
"2015-11-21",2015,"November",21,21
"2015-11-22",2015,"November",22,10
"2015-11-23",2015,"November",23,5
"2015-11-24",2015,"November",24,5
"2015-11-25",2015,"November",25,9
"2015-11-26",2015,"November",26,35
"2015-11-27",2015,"November",27,4
"2015-11-28",2015,"November",28,6
"2015-11-29",2015,"November",29,32
"2015-11-30",2015,"November",30,15
"2015-12-01",2015,"December",01,15
"2015-12-02",2015,"December",02,54
"2015-12-03",2015,"December",03,39
"2015-12-04",2015,"December",04,20
"2015-12-05",2015,"December",05,11
"2015-12-06",2015,"December",06,6
"2015-12-07",2015,"December",07,14
"2015-12-08",2015,"December",08,1
"2015-12-09",2015,"December",09,33
"2015-12-10",2015,"December",10,30
"2015-12-11",2015,"December",11,16
"2015-12-12",2015,"December",12,10
"2015-12-13",2015,"December",13,6
"2015-12-14",2015,"December",14,10
"2015-12-15",2015,"December",15,16
"2015-12-16",2015,"December",16,42
"2015-12-17",2015,"December",17,18
"2015-12-18",2015,"December",18,32
"2015-12-19",2015,"December",19,26
"2015-12-20",2015,"December",20,10
"2015-12-21",2015,"December",21,19
"2015-12-22",2015,"December",22,14
"2015-12-23",2015,"December",23,12
"2015-12-24",2015,"December",24,30
"2015-12-25",2015,"December",25,10
"2015-12-26",2015,"December",26,13
"2015-12-27",2015,"December",27,22
"2015-12-28",2015,"December",28,12
"2015-12-29",2015,"December",29,8
"2015-12-30",2015,"December",30,6
"2015-12-31",2015,"December",31,4
"2016-01-01",2016,"January",01,28
"2016-01-02",2016,"January",02,14
"2016-01-03",2016,"January",03,11
"2016-01-04",2016,"January",04,12
"2016-01-05",2016,"January",05,14
"2016-01-06",2016,"January",06,33
"2016-01-07",2016,"January",07,26
"2016-01-08",2016,"January",08,17
"2016-01-09",2016,"January",09,13
"2016-01-10",2016,"January",10,13
"2016-01-11",2016,"January",11,20
"2016-01-12",2016,"January",12,6
"2016-01-13",2016,"January",13,45
"2016-01-14",2016,"January",14,26
"2016-01-15",2016,"January",15,8
"2016-01-16",2016,"January",16,1
"2016-01-17",2016,"January",17,20
"2016-01-18",2016,"January",18,3
"2016-01-19",2016,"January",19,6
"2016-01-20",2016,"January",20,33
"2016-01-21",2016,"January",21,17
"2016-01-22",2016,"January",22,21
"2016-01-23",2016,"January",23,10
"2016-01-24",2016,"January",24,15
"2016-01-25",2016,"January",25,20
"2016-01-26",2016,"January",26,3
"2016-01-27",2016,"January",27,50
"2016-01-28",2016,"January",28,17
"2016-01-29",2016,"January",29,17
